top - 10:45:51 up 38 min,  1 user,  load average: 0.14, 0.55, 0.73
Tasks: 261 total,   1 running, 260 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.0 us,  4.5 sy,  0.0 ni, 92.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15864.1 total,  10300.9 free,   2542.9 used,   3020.3 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  12514.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    680 avahi     20   0    9132   4520   3496 S   6.2   0.0   0:02.78 avahi-daem+
   1594 darshan   20   0  385084   7756   5904 S   6.2   0.0   0:02.87 ibus-daemon
   1692 darshan   20   0 4199736 260688 107004 S   6.2   1.6   2:22.21 gnome-shell
   5212 darshan   20   0 1156.0g 175624 118844 S   6.2   1.1   0:14.30 msedge
   5839 darshan   20   0   13.5g 394936 106380 S   6.2   2.4   1:01.46 teams
   6199 darshan   20   0   11992   3968   3252 R   6.2   0.0   0:00.02 top
      1 root      20   0  167704  11556   8340 S   0.0   0.1   0:01.40 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flush+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftirqd/0
     14 root      20   0       0      0      0 I   0.0   0.0   0:02.19 rcu_sched
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration/0
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_injec+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_injec+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.15 migration/1
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.13 ksoftirqd/1
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_injec+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.15 migration/2
     28 root      20   0       0      0      0 S   0.0   0.0   0:01.54 ksoftirqd/2
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_injec+
     33 root      rt   0       0      0      0 S   0.0   0.0   0:00.16 migration/3
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.13 ksoftirqd/3
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     43 root      20   0       0      0      0 S   0.0   0.0   0:00.08 kcompactd0
     44 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     45 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
     50 root      20   0       0      0      0 I   0.0   0.0   0:10.81 kworker/2:+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt+
     96 root      20   0       0      0      0 I   0.0   0.0   0:03.59 kworker/3:+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker/0:+
    106 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-k+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    110 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-pci+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_therm+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd+
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker/1:+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrc+
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shri+
    135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_ma+
    157 root       0 -20       0      0      0 I   0.0   0.0   0:00.13 kworker/2:+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    187 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    188 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker/3:+
    217 root      20   0       0      0      0 S   0.0   0.0   0:00.40 jbd2/sda5-8
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-c+
    230 root      20   0       0      0      0 I   0.0   0.0   0:04.78 kworker/1:+
    258 root      19  -1   78128  36544  34968 S   0.0   0.2   0:00.60 systemd-jo+
    281 root      20   0       0      0      0 I   0.0   0.0   0:00.80 kworker/u1+
    290 root      20   0   24192   7384   3936 S   0.0   0.0   0:00.96 systemd-ud+
    349 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-mei+
    357 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    364 root     -51   0       0      0      0 S   0.0   0.0   0:04.80 irq/48-iwl+
    382 root       0 -20       0      0      0 I   0.0   0.0   0:03.06 kworker/u1+
    385 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    412 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    414 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    415 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    640 systemd+  20   0   24668  13916   9196 S   0.0   0.1   0:00.78 systemd-re+
    641 systemd+  20   0   90228   6220   5448 S   0.0   0.0   0:00.10 systemd-ti+
    677 root      20   0  238212   7380   6536 S   0.0   0.0   0:00.11 accounts-d+
    678 root      20   0    2548    776    708 S   0.0   0.0   0:00.12 acpid
    681 root      20   0    9424   3028   2764 S   0.0   0.0   0:00.00 cron
    683 root      20   0   29056   9704   7448 S   0.0   0.1   0:00.07 cupsd
    685 message+  20   0   10000   6588   3868 S   0.0   0.0   0:01.94 dbus-daemon
    687 root      20   0  262912  21060  16808 S   0.0   0.1   0:01.48 NetworkMan+
    697 root      20   0   81904   3732   3412 S   0.0   0.0   0:00.14 irqbalance
    700 root      20   0   39692  20844  12164 S   0.0   0.1   0:00.14 networkd-d+
    707 root      20   0  241048  11612   7188 S   0.0   0.1   0:02.24 polkitd
    710 syslog    20   0  224352   4920   3624 S   0.0   0.0   0:00.11 rsyslogd
    713 root      20   0 1468080  32284  20344 S   0.0   0.2   0:02.18 snapd
    720 root      20   0  235612   6216   5664 S   0.0   0.0   0:00.02 switcheroo+
    724 root      20   0   16760   8204   7112 S   0.0   0.1   0:00.20 systemd-lo+
    725 root      20   0  125896   9924   9092 S   0.0   0.1   0:00.22 thermald
    726 root      20   0  393024  13256  10296 S   0.0   0.1   0:00.44 udisksd
    727 root      20   0   14076   9368   8320 S   0.0   0.1   0:00.06 wpa_suppli+
    728 avahi     20   0    8348    324      0 S   0.0   0.0   0:00.00 avahi-daem+
    771 root      20   0  313760  10388   8728 S   0.0   0.1   0:00.09 ModemManag+
    774 root      20   0  177272  13804  11396 S   0.0   0.1   0:00.20 cups-brows+
    806 root      20   0  239624   8500   7316 S   0.0   0.1   0:00.03 gdm3
    815 root      20   0  118128  22792  14668 S   0.0   0.1   0:00.10 unattended+
    851 rtkit     21   1  152936   2992   2760 S   0.0   0.0   0:00.03 rtkit-daem+
    949 root      20   0  252372  10088   8612 S   0.0   0.1   0:00.38 upowerd
   1281 colord    20   0  246300  14804   9520 S   0.0   0.1   0:00.23 colord
   1371 whoopsie  20   0  253148  15728  13852 S   0.0   0.1   0:00.03 whoopsie
   1372 kernoops  20   0   11272    444      0 S   0.0   0.0   0:00.06 kerneloops
   1374 kernoops  20   0   11272    444      0 S   0.0   0.0   0:00.06 kerneloops
   1380 lp        20   0   15332   6624   5828 S   0.0   0.0   0:00.00 dbus
   1381 lp        20   0   15332   6552   5756 S   0.0   0.0   0:00.00 dbus
   1388 root      20   0  167200   9640   8244 S   0.0   0.1   0:00.02 gdm-sessio+
   1394 darshan   20   0   19576  10948   8164 S   0.0   0.1   0:00.46 systemd
   1395 darshan   20   0  103580   3580      4 S   0.0   0.0   0:00.00 (sd-pam)
   1401 darshan    9 -11 2793056  19316  15100 S   0.0   0.1   0:01.07 pulseaudio
   1403 darshan   39  19  789868  24424  16296 S   0.0   0.2   0:00.17 tracker-mi+
   1406 darshan   20   0    9788   6932   3844 S   0.0   0.0   0:00.62 dbus-daemon
   1412 darshan   20   0  240200   7460   6504 S   0.0   0.0   0:00.09 gnome-keyr+
   1416 darshan   20   0  239720   7544   6556 S   0.0   0.0   0:00.08 gvfsd
   1431 darshan   20   0  378356   6496   5836 S   0.0   0.0   0:00.01 gvfsd-fuse
   1437 darshan   20   0  313944   9304   7676 S   0.0   0.1   0:00.19 gvfs-udisk+
